Model,BatchSize,Optimizer,LR,PinMemory,Epochs,TestAccuracy,Time
ResNet-18,16,SGD,0.001,False,3,89.61428571428571,152.72153759002686
ResNet-18,16,SGD,0.0001,False,3,87.69285714285714,150.8418161869049
ResNet-18,16,Adam,0.001,False,3,90.20714285714286,170.3192000389099
ResNet-18,16,Adam,0.0001,False,3,89.65714285714286,171.3190200328827
ResNet-18,32,SGD,0.001,False,3,89.52142857142857,84.95838046073914
ResNet-18,32,Adam,0.001,False,3,89.06428571428572,94.75138974189758
ResNet-50,16,SGD,0.001,False,3,88.15714285714286,309.4072496891022
ResNet-50,16,SGD,0.0001,False,3,82.67142857142858,309.7397782802582
ResNet-50,16,Adam,0.001,False,3,85.91428571428571,353.0116801261902
ResNet-50,16,Adam,0.0001,False,3,86.33571428571429,356.69756960868835
ResNet-50,32,SGD,0.001,False,3,86.98571428571428,161.71957898139954
ResNet-50,32,Adam,0.001,False,3,86.48571428571428,179.93698120117188
ResNet-18,16,SGD,0.001,True,3,89.02857142857142,145.08743238449097
ResNet-18,16,SGD,0.0001,True,3,88.51428571428572,145.29521775245667
ResNet-18,16,Adam,0.001,True,3,89.27142857142857,166.1006875038147
ResNet-18,16,Adam,0.0001,True,3,89.57142857142857,165.34345197677612
ResNet-18,32,SGD,0.001,True,3,88.7,80.19726634025574
ResNet-18,32,Adam,0.001,True,3,90.20714285714286,88.3284125328064
ResNet-50,16,SGD,0.001,True,3,86.20714285714286,308.2686679363251
ResNet-50,16,SGD,0.0001,True,3,82.15714285714286,307.5599822998047
ResNet-50,16,Adam,0.001,True,3,86.21428571428571,348.42760825157166
ResNet-50,16,Adam,0.0001,True,3,87.18571428571428,352.7198734283447
ResNet-50,32,SGD,0.001,True,3,86.53571428571429,155.88327765464783
ResNet-50,32,Adam,0.001,True,3,87.75714285714285,174.08525824546814
ResNet-18,16,SGD,0.001,False,5,90.38571428571429,242.49992156028748
ResNet-18,16,SGD,0.0001,False,5,89.05714285714286,241.97124767303467
ResNet-18,16,Adam,0.001,False,5,90.85714285714286,270.9830286502838
ResNet-18,16,Adam,0.0001,False,5,89.61428571428571,268.73330211639404
ResNet-18,32,SGD,0.001,False,5,90.33571428571429,127.05875897407532
ResNet-18,32,Adam,0.001,False,5,90.90714285714286,144.5437774658203
ResNet-50,16,SGD,0.001,False,5,87.89285714285714,487.15263319015503
ResNet-50,16,SGD,0.0001,False,5,85.64285714285714,487.1304545402527
ResNet-50,16,Adam,0.001,False,5,86.84285714285714,557.894119977951
ResNet-50,16,Adam,0.0001,False,5,88.77142857142857,568.4116373062134
ResNet-50,32,SGD,0.001,False,5,88.27142857142857,252.3425829410553
ResNet-50,32,Adam,0.001,False,5,87.33571428571429,289.4488708972931
ResNet-18,16,SGD,0.001,True,5,90.17142857142858,225.48578572273254
ResNet-18,16,SGD,0.0001,True,5,88.94285714285714,225.57900190353394
ResNet-18,16,Adam,0.001,True,5,90.65714285714286,261.56899905204773
ResNet-18,16,Adam,0.0001,True,5,90.55714285714286,260.31027936935425
ResNet-18,32,SGD,0.001,True,5,90.01428571428572,123.65633058547974
ResNet-18,32,Adam,0.001,True,5,90.91428571428571,142.96890664100647
ResNet-50,16,SGD,0.001,True,5,89.10714285714286,481.7287402153015
ResNet-50,16,SGD,0.0001,True,5,85.12142857142857,485.55098247528076
ResNet-50,16,Adam,0.001,True,5,88.32857142857142,553.1303553581238
ResNet-50,16,Adam,0.0001,True,5,88.17142857142858,556.1754834651947
ResNet-50,32,SGD,0.001,True,5,88.83571428571429,248.81235718727112
ResNet-50,32,Adam,0.001,True,5,87.38571428571429,283.42986822128296
