Model,BatchSize,Optimizer,LR,PinMemory,Epochs,TestAccuracy,Time
ResNet-18,16,SGD,0.001,False,3,98.62142857142857,136.2593128681183
ResNet-18,16,SGD,0.0001,False,3,98.35,134.59104180335999
ResNet-18,16,Adam,0.001,False,3,98.88571428571429,153.12288117408752
ResNet-18,16,Adam,0.0001,False,3,98.87142857142857,152.79957151412964
ResNet-18,32,SGD,0.001,False,3,98.77857142857142,72.84655737876892
ResNet-18,32,Adam,0.001,False,3,98.65,82.89629316329956
ResNet-50,16,SGD,0.001,False,3,98.42857142857143,271.0741443634033
ResNet-50,16,SGD,0.0001,False,3,97.15,272.21181082725525
ResNet-50,16,Adam,0.001,False,3,97.89285714285714,311.5820531845093
ResNet-50,16,Adam,0.0001,False,3,97.27142857142857,314.4475088119507
ResNet-50,32,SGD,0.001,False,3,98.4,139.1432294845581
ResNet-50,32,Adam,0.001,False,3,96.97857142857143,158.76815915107727
ResNet-18,16,SGD,0.001,True,3,98.98571428571428,128.37213134765625
ResNet-18,16,SGD,0.0001,True,3,98.12857142857143,127.2794280052185
ResNet-18,16,Adam,0.001,True,3,98.4,147.44227981567383
ResNet-18,16,Adam,0.0001,True,3,98.72857142857143,149.76096844673157
ResNet-18,32,SGD,0.001,True,3,98.85714285714286,69.07810688018799
ResNet-18,32,Adam,0.001,True,3,98.95,78.97073411941528
ResNet-50,16,SGD,0.001,True,3,98.44285714285714,268.02805972099304
ResNet-50,16,SGD,0.0001,True,3,96.94285714285714,271.84192538261414
ResNet-50,16,Adam,0.001,True,3,97.67142857142858,311.12291407585144
ResNet-50,16,Adam,0.0001,True,3,97.61428571428571,309.99330258369446
ResNet-50,32,SGD,0.001,True,3,98.08571428571429,138.1031551361084
ResNet-50,32,Adam,0.001,True,3,97.80714285714286,155.48755931854248
ResNet-18,16,SGD,0.001,False,5,99.09285714285714,223.62517619132996
ResNet-18,16,SGD,0.0001,False,5,98.64285714285714,225.25490403175354
ResNet-18,16,Adam,0.001,False,5,98.89285714285714,256.77726578712463
ResNet-18,16,Adam,0.0001,False,5,98.94285714285714,254.39208960533142
ResNet-18,32,SGD,0.001,False,5,98.87142857142857,122.30543613433838
ResNet-18,32,Adam,0.001,False,5,98.94285714285714,138.03695726394653
ResNet-50,16,SGD,0.001,False,5,98.62142857142857,448.6765694618225
ResNet-50,16,SGD,0.0001,False,5,97.76428571428572,453.8547873497009
ResNet-50,16,Adam,0.001,False,5,98.67857142857143,519.3677368164062
ResNet-50,16,Adam,0.0001,False,5,98.08571428571429,522.6244120597839
ResNet-50,32,SGD,0.001,False,5,98.49285714285715,233.56803178787231
ResNet-50,32,Adam,0.001,False,5,97.97142857142858,267.5943250656128
ResNet-18,16,SGD,0.001,True,5,98.92857142857143,216.9773678779602
ResNet-18,16,SGD,0.0001,True,5,98.63571428571429,217.0651535987854
ResNet-18,16,Adam,0.001,True,5,98.83571428571429,246.28708839416504
ResNet-18,16,Adam,0.0001,True,5,98.94285714285714,247.33055138587952
ResNet-18,32,SGD,0.001,True,5,98.87142857142857,115.73688316345215
ResNet-18,32,Adam,0.001,True,5,98.62142857142857,130.76416182518005
ResNet-50,16,SGD,0.001,True,5,98.67142857142858,448.48729729652405
ResNet-50,16,SGD,0.0001,True,5,97.8,448.15934777259827
ResNet-50,16,Adam,0.001,True,5,98.62142857142857,517.6112921237946
ResNet-50,16,Adam,0.0001,True,5,98.45,518.4384479522705
ResNet-50,32,SGD,0.001,True,5,98.7,228.7774419784546
ResNet-50,32,Adam,0.001,True,5,98.12857142857143,259.73481798171997
