wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
Files already downloaded and verified
Files already downloaded and verified
Trainable params: 38,500
Ep 01 | TrLoss 1.0793 TrAcc 72.36% | VaLoss 0.7020 VaAcc 79.38%
Ep 02 | TrLoss 0.6349 TrAcc 81.14% | VaLoss 0.6637 VaAcc 80.20%
Ep 03 | TrLoss 0.5613 TrAcc 83.07% | VaLoss 0.6386 VaAcc 80.70%
Ep 04 | TrLoss 0.5182 TrAcc 84.21% | VaLoss 0.6449 VaAcc 80.92%
Ep 05 | TrLoss 0.4890 TrAcc 85.00% | VaLoss 0.6374 VaAcc 81.24%
Ep 06 | TrLoss 0.4636 TrAcc 85.70% | VaLoss 0.6230 VaAcc 81.40%
Ep 07 | TrLoss 0.4347 TrAcc 86.50% | VaLoss 0.6194 VaAcc 81.34%
Ep 08 | TrLoss 0.4207 TrAcc 87.10% | VaLoss 0.6143 VaAcc 82.08%
Ep 09 | TrLoss 0.4101 TrAcc 87.41% | VaLoss 0.6169 VaAcc 81.42%
Ep 10 | TrLoss 0.4021 TrAcc 87.65% | VaLoss 0.6112 VaAcc 82.06%

Test Accuracy: 81.29%
