Files already downloaded and verified
Files already downloaded and verified
Trainable params: 185,956
Ep 01 | TrLoss 0.7283 TrAcc 80.98% | VaLoss 0.4067 VaAcc 87.52%
Ep 02 | TrLoss 0.3281 TrAcc 89.69% | VaLoss 0.3867 VaAcc 88.04%
Ep 03 | TrLoss 0.2589 TrAcc 91.60% | VaLoss 0.3829 VaAcc 88.42%
Ep 04 | TrLoss 0.2158 TrAcc 93.06% | VaLoss 0.3652 VaAcc 89.14%
Ep 05 | TrLoss 0.1824 TrAcc 94.00% | VaLoss 0.3766 VaAcc 88.62%
Ep 06 | TrLoss 0.1550 TrAcc 94.91% | VaLoss 0.3748 VaAcc 89.04%
Ep 07 | TrLoss 0.1316 TrAcc 95.71% | VaLoss 0.3680 VaAcc 88.92%
Ep 08 | TrLoss 0.1174 TrAcc 96.29% | VaLoss 0.3662 VaAcc 89.18%
Ep 09 | TrLoss 0.1071 TrAcc 96.77% | VaLoss 0.3623 VaAcc 89.04%
Ep 10 | TrLoss 0.1010 TrAcc 96.97% | VaLoss 0.3726 VaAcc 89.14%

Test Accuracy: 90.01%
